modality,method,AUC_del,AUC_ins,F,DA
BUS-BRA,Grad-CAM,0.5439097269071781,0.7010854680154466,0.15717574110826835,72.0
BUS-BRA,Integrated Gradients,0.45322557518278095,0.5648488240663574,0.11162324888357637,75.0
BUS-BRA,SHAP,0.4550915543711744,0.5352630642529888,0.08017150988181429,76.0
BUS-BRA,Score-CAM,0.6325467720834619,0.6055969065882496,-0.026949865495212284,57.0
FETAL,Grad-CAM,0.44779328923853895,0.6992141441121926,0.2514208548736537,83.0
FETAL,Integrated Gradients,0.5036508488560344,0.7369638829341029,0.23331303407806844,79.0
FETAL,SHAP,0.5232321092533151,0.6901611995265604,0.16692909027324535,79.0
FETAL,Score-CAM,0.4720931209063889,0.6770510736760884,0.20495795276969953,82.0
