Dataset,Backbone,Accuracy,Macro-F1,AUROC
BUS-BRA,EfficientNetB4,76.61290322580645,59.907834101382484,0.8193742985409652
BUS-BRA,MobileNetV2,74.19354838709677,60.65573770491803,0.7972081930415263
BUS-BRA,ResNet50,77.68817204301075,62.44343891402715,0.8116231762065096
BUS-BRA,DenseNet121,76.0752688172043,63.37448559670783,0.820040684624018
FETAL,EfficientNetB4,91.30601302183071,89.816253143668,0.9916546831433445
FETAL,MobileNetV2,91.6124090386825,89.58767399286037,0.9923442758927647
FETAL,ResNet50,94.52317119877442,93.32849008726045,0.9947031346226787
FETAL,DenseNet121,90.76981999234009,88.91011333551853,0.9902955235612029
