Model,Accuracy,Balanced Acc,Precision,Recall (Sens),Specificity,F1,AUC,AP (PR-AUC),MCC,Params (M),Size (MB),Train time (min),Latency (ms/img),Throughput (img/s)
EfficientNetB4,0.7661,0.7176,0.5963,0.6019,0.8333,0.5991,0.8194,0.6944,0.434,17.6756,71.74,7.7237,82.973,282.0642
MobileNetV2,0.7419,0.7252,0.5441,0.6852,0.7652,0.6066,0.7972,0.67,0.4244,2.2593,9.43,1.0483,56.6069,617.9561
ResNet50,0.7769,0.7361,0.6106,0.6389,0.8333,0.6244,0.8116,0.6877,0.4661,23.5898,94.79,3.9845,63.2297,428.3285
DenseNet121,0.7608,0.7466,0.5704,0.713,0.7803,0.6337,0.82,0.6798,0.4656,7.0385,29.12,2.8777,55.8474,427.4427
